SNo,Advertisement No.,Title,Publish Date,Download Link
28,GEM/2023/B/3976601,PCR Machine,21-09-2023 04:37 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding5341836_21092023041456011.pdf
29,GEM/2023/B/3977011,Electronic Weighing Systems,21-09-2023 04:37 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding5342275_21092023041351365.pdf
30,GEM/2023/B/3977244,blood pressure recording units (Q2),21-09-2023 04:37 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding5342531_21092023041140946.pdf
31,GEM/2023/B/3961494,Consuamable items,14-09-2023 05:13 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding5325309_14092023044530199.pdf
32,GEM/2023/B/3948327,High End Ventilator,14-09-2023 12:54 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding5311262_14092023122523828.pdf
33,GEM/2023/B/3890010,LED General Examination Light - Medical Exam or Surgical Headlight or Headlamp (Q3),30-08-2023 04:29 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding5247569_30082023035958421.pdf
34,GEM/2023/B/3800302,Video Bronchoscope for Adult & Pediatric with Accessories,11-08-2023 05:32 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/custom_bid_11082023050318169.pdf
35,GEM/2023/B/3887399,Penta Head Microscope (Q3),29-08-2023 06:06 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding5244798_29082023053700946.pdf
36,AIIMS/DEO/LAUNDRY/2022-23/09,Laundry Service,10-08-2023 12:21 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/tendernotice_1_10082023045702101.pdf
37,Computerized multi-modal recorder system,GEM/2023/B/3652348,06-07-2023 04:53 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding4988959_06072023051727844.pdf
38,Pulse Oximeters,GEM/2023/B/3649852,06-07-2023 04:53 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding4986304_06072023051604428.pdf
39,Maternal Fetal Simulator,GEM/2023/B/3646436,06-07-2023 04:53 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding4982579_06072023051446151.pdf
40,GeM/2023/B3607712,Accounting software,26-06-2023 05:04 AM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding4940200_26062023050624591.pdf
